Label,Raw_tweet,Cleaned_Traditional
sadness,"Yang menyedihkan lagi ada yang menganggap Via Vallen itu nggak merasa di lecehkan amat, malah mau naik pamor demi mencapai Keviralan dan itu diungkapkan oleh seorang W.A.N.I.T.A Addeh, udah jadi korban, sesama Wanita pula. Padahal normalnya harus saling dukung, saling empati [URL]",askmf tadi jam saya beraniin buat line dia duluan tetapi sampai sekarang masih takut buka line aplkasinya saya stop jadi tidak ada notif saya takut tidak dibalas
anger,"Iya nih anjing, manusia pada lebay muak gua liatnya",pernah dikirimin kue sama teman pakai jne seminggu tidak sampai terus diganti sama pihak jne nya dikirim sedang seminggu sedang sampai tetapi basi kuenya sampai nyusut setelahnya kapok tidak ingin sedang pakai jne
anger,samanye udeh maling semua gak si jancok gak si anjing gak si siluman monyet hahahahaha SATU HATI SAMA SAMA MALING !!!!,kalau saya sik memang habis kehilangan seseorang yang dekat
anger,JILBABER BAJU NATAL NORAK & ANJING2 KALIAN SDH MNYAMBUT DI HOTEL WAHAI INTEL SETAN [USERNAME] [USERNAME] APEP AHMAD TARDIYANA URBANE ANJING !! INI AJA POLA ULAH INTEL BUSUK LO NGIKUTIN ORG KEMNPUN TAEKKKK !! ALAT TEROR BNGSAT LAGI2 KALIAN PASANG DI KAMAR KERJASAMA DGN HOTEL TAEK!,kalau dia tidak perduli kenapa kita harus memperhatikannya kalau dia tidak ingin dengar kenapa kita harus bicara kepadanya kalau dia memutuskan untuk pergi kenapa kita harus bertahan mengikutinya tidak perlu mencari jawaban nya karena kamu hanya perlu menghilangkan kalau kenapa
fear,Smg bsk ud ada pengumuman baik ya Allah amin lancarkanlah segalanya bener2 deh judulnya skrg tuh w dipenuhi ketidak pastian dan penantian huhuhu bener2 dr berbagai aspek bs tenang aja ga si ni idup,kalau dokter dipanggilnya dok kalau suster dipanggilnya sus nah kalau apoteker apa tek atau ker iya juga ya bingung saya pribadi sih lebih senang kamu panggil sayang itu hangat sama heart
love,"kalo dokter dipanggilnya ""dok"" - kalo suster dipanggilnya ""sus"" - nah kalo apoteker? ""ap"", ""tek"", ato ""ker"" ?. Iya juga yah, bingung. Aku pribadi sih lbh seneng kamu panggil ""sayang"", it warms ma heart",giliran ke lantai produksi mastiin dan menanyakan langsung apa yang mereka tulis bahkan diganggu dimintain foto yaampun mas mas pusing saya ingin cepat selesai terus balik jogja bahkan begini mmbbz
happy,Kita semua mengaturkan kesuwun yg se-tinggi2nya kpd pakjokowi n kabinet dgn kinerja yg super bnget utk kemakmuran rakyat,yaampun asli deh tidak sedang minum kopi malam malam alhasil tidak bisa tidur sampai jam pagi terus jam sudah kebangun sedang dan tidak bisa merem sedang sampai sekarang padahal mata berat tetapi tidak bisa di ajak merem jug
happy,"Berharap suatu saat nanti difilmkan seperti ""The 33"". Judulnya ""The 13"" mungkin. The coach, kids, dan semua orang yg terlibat aksi penyelamatan. Bener2 Faith In Humanity Restored. Terharu. #ThaiCaveRescue [URL]",ada pernah yang bahas tentang tinder dan sewaktu itu tidak paham karena penasaran unduh lah eh pas sudah unduh dalam hati bilang ini aplikasi apaan menyesal langsung unduh tanpa baca deskripsi mungkin itu asik buat sebagian orang lain tetapi tidak buat aku
happy,"Untuk para sahabat dan guru #pakarkomunikasi neniyulianita dr ani dan teman teman akademisi ""Selamat Milad fikom_unisba ke 35"" semoga lulusan FIKOM UNISBA semakin berkualitas",tetapi angin an sih kadang ditindak kadang tidak tidak konsisten jadi tidak adil siapa yang merasa tidak adil iya pemilik mbl yang pas parkir di situ terus ditindak kitu sanes
sadness,"Gegara td malem treak treak gemash ngliat indo kalah 2-1 sm thailand di kandang sendiri, kini tenggorokan minta digaruk -_________- yg nonton td mlm ngacung coba? Kalean tim mana nih?",untuk beberapa waktu biarlah kita bekerja sebagai bawahan kelak kita bangun usaha sendiri jadi pengelola nya sendiri jadi bosnya sendiri jadi petani yang selalu bangga dengan usaha sendiri nonelse
anger,"Tapi angin2an sih. Kadang ditindak, kadang enggak. Gak konsisten, jd gak fair. Siapa yg merasa gak fair, ya pmlik mbl yg pas parkir di situ, terus ditindak. Kitu sanes...??",saya mengadakan pertemuan sangat baik dengan presiden dan dengan bahagia hati menemaninya dalam kunjungan dadakan dadakan di masyarakat tulis lagarde dalam status twitter nya jokowi periode
happy,"Terima kasih yak buat kakak* diJakarta n Surabaya yg udh luangin waktunya buat meetup.. hehehehee , so sekarang saatnya off , sampai ketemu akhir bulan ya di Balikpapan dan Denpasar... GBU all",saya dong pernah di tolak sama cargloss nutrifood propan bi forisa berlico cantik jelita ini yang paling sakit karena hanya masalah shift yang belum tentu ada saya tabah kok Tuhan
anger,"Lagi ngoceh soal artis xx yg di follow masku..ya ngoceh dikit Temen kerja gue komentar ""haha kasian ya lu beli tiket mahal cuma salaman kaga di folbek"" I was like ""-_________-"" Pfftt Males ngobrol ama orang gblk emang",oke ya cek favorit kak
sadness,"Yang saya lakukan ketika mikir keras : 1. Mantengin leptop berharap dapat ide. Buntu. 2. Nyetel musik berharap merilekskan otak, biar ada inspirasi. Buntu. 3. Glibag-glibug di kasur, merenung sambil meluk bantal. Kemudian ketiduran.",dan enggak masuk rekomendasi ulama versi pak tetapi kita biasa saja bahkan enak menonton langsung tidak usah rekomendasi rekomendasian jadwal padat satu tahun ngundang sekarang buat tahun depan
anger,sama'y sudah g ush ganti ganti saja kali ya menyiksa batin sangat axis disini,intinya ketika kamu yakin dengan semua seleksi yang bisa kamu lalui baiklah masih masih ada seleksi alam yang tidak terduga ujiannya dan kita tidak tahu itu sulit atau mudah
happy,oke (y) cek fav ka :),saya rindu tadi malam sebenarnya tetapi sinyal menahan ku jadi saya lanjutkan saja siang ini saya rindu
sadness,Ingat saat kalian bergabung dengan Twitter? Saya ingat! dari smp entahlah sampai sekarang. dari yg pertama rame sekali twitter sampai hampa gt. tl sepe bgt hufth..kek hati saya gt. *eaaaaa hahahaha #HariJadiTwitterSaya [URL],bukan enggak mau tetapi bagaimana iya kalau dirumah saja malam malam takut sendirian kalau sudah punya anak sih mending tidak sepi sangat tetapi kalau ini sendirian terus tbtb ada kecoa bagaimana begitu kan iya
anger,kamu yang alay yah -_- kamu sih 4lay ih akoh molo sih seble :]x bagaikan menyiram luka pakai air,bahahahahajahahh penyakit eman sudah wkwkw tahan saja sampai agustus lisa datang kekokas niatnya lihat lisa negeri ujungnya kemana mana
happy,"sebenernya awal gua naksir yg coklat, tp wkt itu stock kosong T^T krn w kepo parah ama sound ini headphone dan keinginan untuk memiliki sudah terlalu kuat! jadinya beli yg ada stocknya aja.. akhirnya w berjodoh dengan ""STEEL""",innalillahi saya inna ilahi roji un turut berduka cita atas meninggal nya ibunda tercinta teman saya memendurehmen semoga almarhumah khusnul khotimah serta amal ibadahnya diterima di sisinya
fear,"Berat badanku 77kg, aku minder, aku takut di bully, aku takut mereka yg bilang cantik itu langsing bukan C A N T I K Aku juga takut dibilang ""Gapura Kecamatan"" #janganbullyaku [URL]",semoga besok sudah ada pengumuman baik iya allah amin lancarkan lah segalanya benar benar deh judulnya sekarang tuh saya dipenuhi ketidak pastian dan penantian huhuhu benar benar dari berbagai aspek bisa tenang saja tidak sih ini hidup
sadness,"(c.) jalan tol. Ia sungguh sedih mengingat kejadian-kejadian di kehidupannya. Tak kuat menahan sedih, dirinya mencoba mengakhiri hidupnya sambil menatap bayi Aurora yang tengah terlelap dan tersenyum. Tak kuasa melihat malaikat kecilnya yang begitu cantik mengurungkan niatnya (c",paling parah sih tidak bisa sama sekali lihat yang bolong totol bintik polkadot semacam itu lah bisa menangis sampai pusing karena terngiang terus di kepala dan geli saja takut pokoknya tidak ingin lihat
anger,"Ya gue tau sih, bukan grup kita yg digituin. Tapi sesama cewek, terus dibilang bahan gituan.... masih bisa terima? Dia jelas2 public figure, dan ngomong dengan enaknya di video bahan c**i? Gue ngetik aja ga nyaman. Wah gue lisa digituin aja gue semarah ini, gimana bangtan? -.-",sayang janganlah kamu waton seram
fear,"ketika idung nyium bau bau gaenak lalu temen yg rumahnya lumayan jauh ngechat di wa ""kalian nyium bau gas ga ?"" NJIRRR IYA INI BAU GAS  INI BUKAN GAS BERACUN KAN HUH ? KO JADI PARNO SIH",timbang timbang anakku sayang buah hati ku sepajang jalan siang malan aku selalu berdoa semoga kelak kamu bahagia selalu hari anak nasional
fear,"/rlt guys aku mau nanya. Aku bingung, aku ketrima u'p'n vj sama un air. Aku suka jurusan yg di u pn tp aku anak daerah, agak takut di jkt. Dan yg un air uda dibayar. Mohon sarannya.",wartawan di bunuh guru di bunuh aktivis di bunuh sesorang di bunuh belasan orang di bunuh puluhan orang di bunuh ratusan orang di bunuh ribuan orang di bunuh puluan ribu orang di bunuh ratusan ribu orang di bunuh jutaan orang di bunuh
anger,"heii..hey km para kaum adam hr gini msih mau aj Trnsfer""/ DP""sedihh kan klw di block stelah Tf...mk ny yg Real"" aja klw mw ktmuan sma kaum hawa...hihiiihii",saya baru sadar hampir di setiap panti punya kucing liar yang selalu di rawat atau di ajak main sama anak panti dan saya juga baru sadar ternyata itu bentuk ungkapan kasih sayang anak panti terhadap sesama
anger,dia ! emang'a apa kya a tahu ! masalah'a sih sepele tapi bisa bikin saya ngedown,melakukan hal yang sebenarnya kamu tidak suka dengan bahagia hati karena kamu tahu itu buat pasangan kamu bahagia itu baru romantis
anger,Hey kamuuhhh!! semoga qt dijauhkan dari keputusan yang bodoh ituu Selamat menjalankan ibadah puasa juga budiirrr@olfi_opi,my boy is too handsome benar benar cintaee him sih gemes tetapi sekarang bawel sangat sih mana banyak mau nya tetapi tetap sayang sekal sudah sekoyh sudah pintar sudah mengerti di ajak bicara hihi
love,"Tadi Siang,Aku Mimpi Bang Tomi.Di Mimpi Itu Aku dan Bang Tomi Kelihatan Akrab...bngt.Sampe,Bang Tomi Ngerangkul Pundak Aku Erat...bngt.Apa,ya...Arti Mimpi itu...???",dengan melihat langsung masuk presiden jokowi saya bisa menyimpulkan bahwa ini bukan pencitraan tetapi merupakan kerja seorang pemimpin dalam mengayomi rakyatnya jokowisekalilagi
happy,"Inget tebak tebakan dulu: Budi: ikan, ikan apa yang bentuknya segitiga? Aisyah: Ikan Sepat Budi: kurang tepat ayy Aisyah: trus apa dong! *Mendesak penasaran Budi: Iiikancut luuu.. Nb: Seketika hening, 5 detik kemudian tertawa malu. Wkwkwkwk #recehkantwitter",yang repot itu kalau sekedar baca tanpa dimengerti nah disitu timbul kesalahan bukan pemahaman selektif terhadap argument ndakk papa selagi nalar tetap pada jalur bukan keluar jalur kalau sudah keluar jalur itu pelanggaran celoteh receh
fear,"+ Oleh paman nya kemarin. Namun tiba tiba ada seorang pria paruh baya datang menghampiri nya sambil membawa sebuah papan nama bertuliskan namanya. ""Ini mas jefry?"" Tanya nya dengan agak sedikit ragu karena sepertinya dia takut salah mengira orang +",meskipun syarat ke dua adalah budak cinta Baejin tetapi aku sayang ingin satu siapapun anggota nya dan berjanji tidak pernah akan membuang barang barang apa pun tentang ingin satu
anger,"[USERNAME] .... Harga sepatu saja 13,6 jt.... Gimana mau bicara rakyat miskin.....?? Harga sepatu 13, 6 jt. Itu = 6 x rata2 UMR /bln Rakyat ..... Masih mau ngomong kemiskinan Rakyat....??",niat hati ingin registrasi sim kartu sudah selesai memasuki nomor NIK eh bahkan ada nomor kakak mana saya tahu lah goblok memang kakak saya yang pegang memang saya yang menyimpan kenapa juga harus kakak
anger,#CalonPenghuniNeraka INI SERIUS Buat elu semua para player troll player toxic player noob terutama di game vainglory Elu gak gue maafin. Jancok Neraka bangsaaaaat,jadi agustus itu jadwal pulang karena teman menikah agenda jalan bareng sama rekan kantor dua pilihan yang sama sama ingin ikut tetapi giman padahal jarang sekali saya temu waktu pas dan hati ingin ikut
happy,"LoveLaws - TT (2018) Gak paham gue sama mbak gitaris Warpaint satu ini, keren banget. Gue denger album ini kayak exposing her romantic side nya gitu tp jir berhasil banget, vibe nya fierce tp vurnerable + seducing at the same time. W paling suka lagu Love Leaks sm I've Been Fine [URL]",tidak ada yang ingin saya ungkapkan dia bisa buat nyaman saya sedang apa saja dia juga iya  saja baiknya keterlaluan manis nya keterlaluan gemesinnya keterlaluan marah nya juga ketealuan wkwk sangat sayang dika
happy,Dulu kaya hampir setengah jam atau 2*x sesi jelasin org korea kata *Cie*...sampe pake di dramain biat pd nyambung... Akhirnya baru pd ngerti dan nemu padanan kata ke korea.. trus skrg gw yg lupa bhs koreanya cie apa hahahhaa [URL],ini adalah kisah masuk presiden jokowi yang saya mengikuti di mana beliau mendatangi masyarakat menyalami mereka bertanya dan mendengarkan yang mereka rasakan menindaklanjuti kepada pihak terkait sehingga satu per satu masalah bisa diselesaikan jokowisekalilagi
fear,punya kebiasaan kekamar mandi tengah malem berhubung kamarmandinya lagi dibenerin jadi pake kamarmandi tempat lain tapi kamarmandinya serem I'm scared &gt&,kayaknya sudah lama sekali tidak mengisi materi dalam acara fortasi tiba tiba ada yang menghubungi dari muallimin untuk menjadi pemateri wah padahal sudah uzur di dunia ipm
anger,"ELING GA SIH NIH 3????!!!!!! BIASANYA SECEPAT KILAT, SKRG LAMBAT BGT INSTAGRAM GA KE REFRESH SAMA SEKALI TWITTER JUGA SAMA!!!!!!!!!!! GIMANA NIH? BOSEN NANYAIN NOMOR MULU TAPI UDAH 5 HARI SELAMBAT INI [USERNAME]",sudah dinasehatin Suruh buka hati ke cowok pelan pelan saja kata mereka jangan cuek banget belum temu yang cocok bagaimana dong sedang saya sedang senang begini lihat yang pacaran memang pengin tetapi pas lihat mereka bertengkar jadi malas
fear,[USERNAME] demi apapun w takut ama ntu hewan. trauma pernah digigit dan w abis itu ke rumah sakit gegara keracunan. padahal digigit sama yang kecil masih anaknya gitu tapi buset dah w langsung pusing lemes. jadi ampe sekarang kalau ngeliat ini hewan langsu,askmf kalian yang kulitnya normal skincare nya banyak tidak sih saya ingin menjaga kulit supaya bersih tetapi takut kenapa kalau pakai macam terus masih kecil juga wkwk
love,":: meski aku golput.. tp salut [USERNAME] .. ia satu2nya presiden #RakyatIndonesia yg bisa menangis di depan publik... :: memang tak sedikit lawan2 politiknya.. mngcap dia sombong.. :: tapi, nyatanya, ia menangis.. :: :: #SaveNKRI [URL]",kknlyfe hari paginya leyeh leyeh pas air galonnya habis jadi panik harus isi ulang galon naik turun gunung dengan jalan yang subhanallah dan waktu tempuh sekitar jam pulang pergi hampir jatuh ke jurang gegara tanjakan negeri dan jalan nya rusak
anger,bacot parah galak kalau udah marah jan mau deh dimarahin lex. caca aja kapokgabisa dibohongin kalau ttg cinta tp knpa ttg lainnya lu bege ya susah beud disuruh tidur atau makan my human diary yang kita dkt gatau grgr,ke pengemudi gojek itu seorang stres di tahan pas ingin lempar batu ke kepala saya dan akhirnya orang sekitar pada ramai lihat ujung nya dibawa lah ke rt buat laporan dan menghampiri keluarga beliau di salemba juga
fear,"[USERNAME] nyabutnya santae aja pake jari asal jgn kena kuku. beli softlennya yg emg bagus dan jelas. dulu ku pernah beli soflen di tmn cuma yg warna22an gt biasanya item. terus lg gangapa22in ujug22 gatel perih etaunya robek :,( untung cepet22 dikeluari",lagu ini saya persembahkan buat pak juga pak wali kota solo pak fx hadi rudyatmo karena membuat kota solo lebih di kenal luas berkat lagu solo yang dibuat solo
fear,Hanya mampu retweet bagi peminat cerita seram tengok je lah. Saya penakut. Kalau tengok kat wayang ni dengar suara aku sorang je menjerit walaupun tutup mata,belum bisa move on dari keseruan acara torch relay asia games sisa semalam dibuangsayang withgadis rumah jabatan gubernur provinsi sulawesi selatan
love,"Haha, tiap hari juga kamu selalu terpesona dan semakin terpesona sama aku kkk~",mahkamah konstitusi dear hapus ambang batas nyapres rakyat ingin banyak pilihan tandatangani petisi lewat
fear,Apa yang akan kamu lakukan jika ada singa masuk ke rumahmu? nyuruh singanya makan kau. biar mati kenak makan singa. uh ngeri ya off anonla m h e h e,ketika ada sesuatu hal yang membuat kita jatuh percayalah bahwa kita sedang diajarkan bagaimana cara untuk bangkit
love,"Kalo udah sayang beneran itu mau dihadapkan sama cowok yang lebih tajir +++, ganteng +++, pinter +++, serba +++, dll itu pasti bakalan tetep ga mau berpindah",kalau untuk barang elektronik begitu bagaimana kadang takut ingin buang headset dan baterai ke tempat sampah soalnya kan bahaya terus sama botol spray katanya bisa meledak di suhu yang tinggi
fear,"[USERNAME] Lagi main di rumah temen tuh. Pas pipis liat cd udah merah gitu. Langsung izin pulang bilangnya mendadak sakit Pas sampe rumah bilang, ""itu""kakak berdarah mah. Takut. Soalnya emang pas main jatuh. Pas diliat dibilang mens. Hue besoknya pe",nah tadu kebetulan setorannya ke bpd rumah sakit karena trauma kejadian di bpd cabang tetapi ternyata ketemu nya itu satpam kurang ajar sudah ngeper duluan takut ingin aku berlari saja rasanya
love,SATU LAGI KALIAN DUA AKUN BASE YANG PALING AKU SAYANG. YANG PALING BISA MENGINGATKAN SATU SAMA LAIN. DAN MAKASIH BANYAK BUAT ADMIN2NYAAA ILY ILY ILY I PURPLE YOU! [USERNAME] [USERNAME] [USERNAME],sebetulnya tidak ada maksud jelek cuma kagum dengan pencapaian putri nya teman yang disekolahin desain komunikasi visual secara jaman now orang pada ribut soal sekolah negeri dan zonasi apa daya dianggap belum bisa move on oleh semua kawan lama jadi terpaksa unfol ybs
fear,[USERNAME] libur tapi ini tugas dikumpulin senin aq takut kalo tida selesai p.s sekali lagi ngirim foto yoongi yang macem gituan AQ BLOCK p.s.s SAME ENERGY WITH THIS PICT DJKDDJDLDL [URL],anjri seram sendiri tadu pas pulang kantor karena jarak kantor ke rumah naik motor kuranglebih menitan dari pada ngantuk suka nya bicara sendiri atau sok an sedang bicara sama siapa begitu jangan bilang saya gila obat ngantuk saat menyetir nah tema hari ini eback ftisland
anger,"[USERNAME] [USERNAME] bisa juga dengan sepatah awalan di depan kalimat: ""makanya.........."" ""Kan udah gue bilang......."" ""Ngotot sih dikasih tau......"" ""Pala batu sih....."" Et cetera~",seperti dulu saya mencintaimu sampai selamanya tanpa akhir cinta tidak perlu alasan untuk mengalir
anger,"[USERNAME] [USERNAME] bisa juga dengan sepatah awalan di depan kalimat: ""makanya.........."" ""Kan udah gue bilang......."" ""Ngotot sih dikasih tau......"" ""Pala batu sih....."" Et cetera~",seperti dulu saya mencintaimu sampai selamanya tanpa akhir cinta tidak perlu alasan untuk mengalir
sadness,"*Ngbrol masalah gaji* Atasan aing : waktu itu gmna sih ndre detail gajimu? Yg di jelasin pak **** Aing: gatau pak, saya nanyain gaji aja malah di marahin Atasan aing:....... Aing:......... SAVAGE *langsung ada backsound mobile legend",seperti dulu saya mencintaimu sampai selamanya tanpa akhir cinta tidak perlu alasan untuk mengalir
sadness,"*Ngbrol masalah gaji* Atasan aing : waktu itu gmna sih ndre detail gajimu? Yg di jelasin pak **** Aing: gatau pak, saya nanyain gaji aja malah di marahin Atasan aing:....... Aing:......... SAVAGE *langsung ada backsound mobile legend",seperti dulu saya mencintaimu sampai selamanya tanpa akhir cinta tidak perlu alasan untuk mengalir
sadness,"Gue pun juga ngatain sesama perempuan, memutus rantai akan julit emang susah owislah~~ ibarate sego uwis dadi bubur~ flying money money",akan ada satu hari kamu yang ikhlas di hujat fitnah adu domba melangkah ringan di hari perhitungan karena hukuman di terima di dunia dengan semua ikhlas terima kejahatan mereka padamu dan urusan mereka biar allah yang atasi saja
anger,"Kasus via Vallen, itu juga sering terjadi kok, dari yang gue kenal orang nya sampai gk gue kenal orang nya, sering bertebaran gambar t*t*t di DM gue , messenger, WA lah yg gue lakukan block, block or report akun nya, kelar",orang orang psi itu termasuk juga sih adalah anak baru di dunia politik yang ingin cepat populer dengan cara memancing orang orang yang sudah populer untuk ber interaksi dengan mereka kasihan deh
fear,aku takut dngn smua bnda.. ap y bkl trjadi ap y tgh tjadi kat sekeliling aku.. aku takut dngn diri sndiri.. hate this feeling.. just wanna die rn.. fml,gilss pegawai distasiun parung panjang pelayanannya tidak ramah ngets aduh maaf mbak nya sedang tidak mood kerja iya apa sedang bertengkar sama cwonya ak cuma tanya aja jawabnya nada tinggi bahkan tidak tengok sama sekali
anger,"[USERNAME] [USERNAME] [USERNAME] Dan lebihnya speak up itu dikatain lebay, cari sensasi dsb Mereka ga mikir, kalo mau speak up itu butuh keberanian, karna sebenernya pelecehan itu aib tp kalo ga speak up itu orang jg ga bakal jera, ga ngerasa mal",dikira sudah sampaj kampung halaman nyatanya masih di pengumbaran hehehehe rm ikan bakar pangandaran jl yos sudarso
love,"[USERNAME] HYUNMIN DOOONG!! MEREKA ITU RACUN BANGET KE GUEEE! KAPAL YANG PALING TULUS, KAPAL YANG PALING ROMANTIS BAGI GUE, MOMENT KECIL YANG MEREKA BUAT AJA UDAH BIKIN GONJANG-GANJING BODO AMAT DISINDIR SINDIR KAPAL LAIN WQWQWQ~ GUE SAYANG KAPAL INI T",beberapa orang tetap bisa menikmati hidup walaupun belum di pertemukan dengan pasangan karena ia memiliki sahabat dan banyak teman dari orang terdekat ia tidak pernah merasa kekurangan kasih sayang
sadness,pusing qlo gini pilih yang mana qlo gini (at pt airmas asri),maaf pak saya rasa kita harus punya etika dalam mengutarakan pendapat aplgi bila anda suka berdakwah dan orang yang berpendidikan berbeda itu hal yang biasa
happy,"Kalian kerja qeras bagay quda banget yaa buat kambek kali ini T.T Baiklah, besok2 streaming melon ama mv nya lebih semangaaatttzzzsss yaaaaa [USERNAME] :""""""""""""""""))))))",kalau tidak bisa urus anak tidak usah punya anak sih iya allah kasihan sangat saya tidak tega anak disiksa mirip begitu saya kalau sudah punya anak nanti akan saya sayang sekali kenapasih harus melakukan kekerasan padahal anak kan titipan allah harus di jaga kalau salah iya dikasih tahu baik baik
